1 1 3.874
1 2 3.795
1 3 4.016
1 4 3.789
1 5 4.093
1 6 3.864
1 7 4.608
1 8 4.381
1 9 3.898
1 10 3.816
1 11 4.293
1 12 3.792
1 13 4.131
1 14 3.809
1 15 4.476
1 16 4.151
1 17 4.151
2 1 2.673
2 2 2.550
2 3 2.458
2 4 2.634
2 5 2.564
2 6 2.472
2 7 3.134
2 8 2.727
2 9 2.557
2 10 2.629
2 11 2.658
2 12 2.607
2 13 2.471
2 14 2.608
2 15 2.831
2 16 2.702
2 17 2.702
3 1 3.320
3 2 3.231
3 3 2.670
3 4 3.288
3 5 2.947
3 6 3.206
3 7 3.007
3 8 2.863
3 9 3.110
3 10 3.282
3 11 2.862
3 12 3.278
3 13 2.789
3 14 3.151
3 15 2.811
3 16 2.759
3 17 2.759
4 1 2.685
4 2 2.640
4 3 3.081
4 4 2.447
4 5 2.989
4 6 2.507
4 7 3.748
4 8 3.365
4 9 2.655
4 10 2.704
4 11 3.208
4 12 2.577
4 13 2.997
4 14 2.740
4 15 3.550
4 16 3.236
4 17 3.236
5 1 3.924
5 2 3.736
5 3 3.541
5 4 3.828
5 5 3.410
5 6 3.802
5 7 3.443
5 8 3.436
5 9 3.736
5 10 3.864
5 11 3.408
5 12 3.841
5 13 3.526
5 14 3.858
5 15 3.466
5 16 3.344
5 17 3.344
6 1 3.345
6 2 3.437
6 3 3.375
6 4 3.331
6 5 3.313
6 6 3.145
6 7 3.910
6 8 3.519
6 9 3.341
6 10 3.400
6 11 3.364
6 12 3.399
6 13 3.294
6 14 3.224
6 15 3.642
6 16 3.485
6 17 3.485
7 1 4.576
7 2 4.532
7 3 3.898
7 4 4.580
7 5 4.035
7 6 4.598
7 7 3.171
7 8 3.472
7 9 4.491
7 10 4.481
7 11 3.647
7 12 4.707
7 13 3.965
7 14 4.487
7 15 3.234
7 16 3.641
7 17 3.641
8 1 4.331
8 2 4.304
8 3 4.072
8 4 4.282
8 5 4.104
8 6 4.361
8 7 4.513
8 8 4.147
8 9 4.237
8 10 4.259
8 11 4.193
8 12 4.217
8 13 4.029
8 14 4.290
8 15 4.454
8 16 4.059
8 17 4.059
9 1 2.540
9 2 2.530
9 3 2.967
9 4 2.419
9 5 2.799
9 6 2.477
9 7 3.507
9 8 3.096
9 9 2.396
9 10 2.694
9 11 2.883
9 12 2.686
9 13 2.739
9 14 2.557
9 15 3.327
9 16 3.061
9 17 3.061
10 1 3.517
10 2 3.327
10 3 3.567
10 4 3.389
10 5 3.505
10 6 3.395
10 7 3.633
10 8 3.645
10 9 3.317
10 10 3.379
10 11 3.505
10 12 3.597
10 13 3.523
10 14 3.476
10 15 3.575
10 16 3.533
10 17 3.533
11 1 3.433
11 2 3.389
11 3 3.090
11 4 3.427
11 5 3.076
11 6 3.429
11 7 3.121
11 8 3.003
11 9 3.237
11 10 3.450
11 11 2.754
11 12 3.538
11 13 2.988
11 14 3.370
11 15 2.975
11 16 3.043
11 17 3.043
12 1 2.522
12 2 2.376
12 3 2.613
12 4 2.394
12 5 2.657
12 6 2.466
12 7 3.321
12 8 2.990
12 9 2.585
12 10 2.475
12 11 2.923
12 12 2.312
12 13 2.639
12 14 2.483
12 15 3.127
12 16 2.741
12 17 2.741
13 1 2.362
13 2 2.391
13 3 2.186
13 4 2.510
13 5 2.015
13 6 2.446
13 7 2.466
13 8 2.062
13 9 2.302
13 10 2.514
13 11 2.003
13 12 2.469
13 13 1.843
13 14 2.414
13 15 2.388
13 16 2.167
13 17 2.167
14 1 3.775
14 2 3.748
14 3 4.017
14 4 3.815
14 5 4.013
14 6 3.750
14 7 4.424
14 8 4.161
14 9 3.778
14 10 3.848
14 11 4.108
14 12 3.841
14 13 3.917
14 14 3.618
14 15 4.161
14 16 4.127
14 17 4.127
15 1 4.985
15 2 4.937
15 3 4.448
15 4 4.938
15 5 4.713
15 6 4.963
15 7 4.253
15 8 4.397
15 9 4.841
15 10 5.009
15 11 4.336
15 12 5.013
15 13 4.606
15 14 4.746
15 15 4.010
15 16 4.376
15 17 4.376
16 1 2.758
16 2 2.645
16 3 1.905
16 4 2.680
16 5 2.057
16 6 2.781
16 7 2.191
16 8 2.004
16 9 2.563
16 10 2.773
16 11 2.037
16 12 2.766
16 13 2.045
16 14 2.760
16 15 1.961
16 16 1.852
16 17 1.852
17 1 2.758
17 2 2.645
17 3 1.905
17 4 2.680
17 5 2.057
17 6 2.781
17 7 2.191
17 8 2.004
17 9 2.563
17 10 2.773
17 11 2.037
17 12 2.766
17 13 2.045
17 14 2.760
17 15 1.961
17 16 1.852
17 17 1.852
