batch41.161 7.131 53.4935 35
batch20.323 6.989 53.4652 29
batch39.344 8.106 53.4244 35
batch162.460 8.260 53.4192 31
batch114.295 8.814 53.4126 34
batch161.89 8.508 53.3383 30
batch17.529 13.067 53.3379 33
batch63.452 9.148 53.2258 32
batch170.213 7.061 53.2065 34
batch193.529 7.692 53.1258 35
batch44.483 11.002 53.1116 35
batch192.522 8.848 53.0894 29
batch15.569 8.937 53.0567 35
batch188.475 8.114 53.0406 31
batch32.384 7.922 53.0353 33
batch188.90 10.966 53.002 35
batch184.401 6.026 52.9758 34
batch194.528 7.210 52.9548 29
batch133.321 8.689 52.9289 32
batch12.576 8.901 52.8991 32
batch191.95 7.855 52.8939 34
batch138.187 9.437 52.8672 28
batch65.83 7.002 52.8449 30
batch146.112 11.638 52.8264 26
batch73.361 8.411 52.8127 33
batch31.243 9.491 52.81 26
batch66.321 5.583 52.767 34
batch169.76 7.451 52.7659 33
batch142.547 9.271 52.7659 34
batch11.33 9.712 52.7577 33
batch40.10 8.293 52.7465 31
batch72.206 8.507 52.7425 35
batch101.388 8.287 52.7389 35
batch123.147 7.213 52.7362 31
batch66.425 9.936 52.7337 34
batch153.57 6.377 52.7187 32
batch187.95 6.500 52.7152 33
batch100.460 7.779 52.7132 34
batch148.535 7.784 52.7119 19
batch46.93 8.050 52.7112 30
batch148.218 10.458 52.6993 29
batch113.43 11.784 52.6954 35
batch155.295 8.022 52.6908 34
batch122.206 7.198 52.6837 32
batch185.60 12.063 52.6784 34
batch163.71 10.708 52.6739 33
batch106.21 6.861 52.6717 35
batch118.103 8.113 52.6654 35
batch147.194 8.207 52.6449 33
batch189.29 11.863 52.6385 34
batch43.497 10.377 52.6382 33
batch16.419 8.574 52.636 33
batch190.156 8.532 52.6326 35
batch147.272 6.125 52.6287 30
batch160.521 7.104 52.6176 35
batch187.142 7.608 52.6165 35
batch22.567 7.316 52.6088 29
batch54.66 9.027 52.6024 33
batch4.306 7.835 52.583 34
batch27.140 7.414 52.5826 34
batch45.405 11.775 52.5796 34
batch40.563 7.187 52.5791 29
batch11.478 7.493 52.5782 35
batch176.470 13.231 52.5359 29
batch183.134 8.001 52.5345 34
batch174.215 8.171 52.5333 32
batch130.349 7.232 52.5293 32
batch21.42 8.027 52.5251 32
batch186.187 6.783 52.5176 31
batch179.52 8.086 52.515 32
batch33.440 7.725 52.514 21
batch168.255 7.500 52.5122 33
batch161.399 6.028 52.5085 34
batch146.71 7.529 52.5059 28
batch134.399 7.877 52.5021 33
batch33.199 8.597 52.5016 24
batch27.483 11.696 52.4997 35
batch67.396 11.228 52.497 34
batch50.403 8.953 52.4961 31
batch44.83 8.440 52.4959 32
batch133.301 9.476 52.4936 26
batch196.507 8.353 52.491 35
batch71.370 10.028 52.4907 30
batch156.373 9.515 52.4882 35
batch165.491 7.811 52.4861 33
batch192.136 11.220 52.4839 28
batch57.111 8.100 52.481 27
batch56.77 9.719 52.4716 34
batch186.505 6.510 52.4666 32
batch27.22 9.462 52.4652 35
batch42.220 7.466 52.462 33
batch191.151 8.604 52.4572 34
batch108.497 9.168 52.4566 31
batch26.352 9.090 52.4563 29
batch63.463 11.903 52.4494 35
batch139.327 11.798 52.4477 31
batch108.509 9.398 52.4459 34
batch191.188 11.241 52.4456 26
batch158.193 11.015 52.4425 35
batch127.96 8.558 52.4425 31
batch102.410 8.375 52.4419 35
batch144.154 12.832 52.4417 33
batch24.137 7.629 52.4402 21
batch105.245 12.416 52.4396 23
batch26.154 9.140 52.4336 34
batch114.553 9.236 52.4322 33
batch141.521 7.073 52.428 35
batch12.534 9.691 52.4248 33
batch36.357 10.371 52.4115 34
batch16.348 8.067 52.411 35
batch181.101 9.370 52.3875 34
batch184.86 6.522 52.3859 34
batch168.411 9.092 52.3853 33
batch185.538 7.695 52.3842 34
batch151.35 8.505 52.3825 33
batch161.165 7.645 52.3824 24
batch186.218 7.877 52.3808 33
batch180.527 8.308 52.3804 35
batch175.89 8.665 52.3793 31
batch145.142 11.863 52.3792 35
batch180.192 10.572 52.3754 30
batch62.54 8.494 52.37 33
batch43.23 7.933 52.3666 29
batch166.388 10.036 52.3662 35
batch186.94 9.422 52.3657 29
batch163.102 7.308 52.3585 28
batch120.278 8.523 52.3583 17
batch38.204 7.854 52.3574 32
batch46.535 9.444 52.3509 32
batch43.565 11.472 52.3491 28
batch134.278 7.043 52.3489 26
batch66.302 10.388 52.3486 29
batch129.489 8.986 52.3418 35
batch128.581 8.643 52.3416 32
batch163.541 10.057 52.3407 34
batch189.151 7.345 52.3401 30
batch185.545 9.459 52.3333 34
batch105.352 10.735 52.3287 35
batch188.229 9.946 52.3277 32
batch183.527 8.091 52.3271 33
batch110.263 9.138 52.3208 35
batch40.502 10.521 52.3186 32
batch7.373 9.656 52.3151 31
batch120.540 8.489 52.3131 32
batch183.119 7.221 52.3128 30
batch21.525 9.156 52.3087 29
batch41.330 7.378 52.3073 32
batch67.211 6.772 52.2918 30
batch137.461 12.252 52.2886 32
batch165.190 7.486 52.2747 32
batch52.467 9.832 52.2744 26
batch171.329 8.548 52.2729 25
batch152.402 10.158 52.2717 31
batch190.67 9.414 52.269 33
batch34.315 12.206 52.2686 29
batch68.234 9.757 52.2675 35
batch59.300 10.917 52.2621 34
batch111.262 9.755 52.2617 31
batch152.250 9.002 52.2611 32
batch115.334 7.558 52.2548 32
batch151.337 9.719 52.2513 30
batch121.507 7.777 52.2494 31
batch187.116 7.478 52.2459 29
batch143.560 8.696 52.2429 30
batch51.383 9.583 52.2415 32
batch17.238 8.361 52.23 31
batch101.236 6.227 52.2287 33
batch133.104 6.210 52.2259 35
batch126.370 9.650 52.2256 31
batch62.162 11.526 52.2209 28
batch10.555 8.817 52.2197 34
batch168.19 10.049 52.2177 32
batch197.447 7.355 52.2154 35
batch129.566 5.730 52.2099 34
batch103.385 7.282 52.1998 21
batch2.122 8.313 52.1971 34
batch61.161 8.243 52.1958 34
batch172.99 9.338 52.1944 32
batch100.446 7.540 52.194 32
batch53.302 12.561 52.1922 27
batch156.13 9.601 52.1916 31
batch143.231 8.974 52.1885 34
batch174.211 8.696 52.188 27
batch193.62 11.496 52.1874 33
batch136.38 11.208 52.1793 34
batch171.45 8.794 52.178 31
batch55.331 8.176 52.1775 30
batch2.299 8.538 52.1772 33
batch147.210 9.889 52.1753 26
batch33.195 8.532 52.1744 35
batch49.472 9.149 52.171 33
batch31.406 8.446 52.1684 28
batch146.478 7.962 52.1655 31
batch155.23 11.216 52.1639 29
batch145.510 10.408 52.1618 27
batch188.315 9.209 52.1603 30
batch69.20 8.989 52.1586 32
batch19.339 8.562 52.1572 32
batch150.64 10.570 52.1536 34
batch180.287 9.006 52.1534 32
batch7.541 9.834 52.1533 35
batch168.125 7.531 52.1491 33
batch175.246 9.682 52.1465 34
batch103.23 9.217 52.1452 31
batch181.128 8.651 52.1442 25
batch12.422 6.411 52.1442 21
batch25.20 8.398 52.1433 33
batch121.192 7.778 52.1416 31
batch191.504 10.121 52.1398 32
batch48.15 8.204 52.1371 33
batch167.304 10.367 52.1315 35
batch63.445 12.533 52.1304 33
batch181.91 9.097 52.129 35
batch108.93 5.698 52.1287 23
batch136.494 9.010 52.1255 18
batch173.42 11.397 52.1238 31
batch11.464 9.964 52.1223 35
batch26.435 6.919 52.1207 19
batch199.215 11.630 52.1205 30
batch122.313 12.283 52.1186 25
batch111.331 7.730 52.1168 34
