batch143.279 9.054 54.564 33
batch83.35 8.657 54.5584 29
batch170.306 7.105 54.4701 33
batch20.232 10.503 54.4669 32
batch57.167 9.441 54.4425 32
batch143.351 7.380 54.3873 34
batch143.219 9.635 54.3789 35
batch84.208 9.285 54.3741 28
batch71.365 7.736 54.3565 32
batch90.126 10.886 54.3562 36
batch88.137 7.712 54.3265 35
batch41.10 9.216 54.3265 33
batch157.155 7.226 54.3089 29
batch51.297 11.317 54.3072 29
batch28.121 7.553 54.3053 27
batch49.96 8.333 54.3051 35
batch19.354 10.573 54.2869 32
batch88.431 9.775 54.2817 36
batch51.78 8.397 54.2788 34
batch171.51 8.380 54.2735 31
batch167.192 7.215 54.2503 30
batch46.239 12.063 54.2499 30
batch25.279 8.984 54.249 36
batch11.242 8.016 54.2352 30
batch14.386 6.777 54.2303 30
batch33.48 9.529 54.2293 28
batch4.160 8.139 54.2252 25
batch191.223 9.503 54.225 32
batch10.442 7.782 54.2199 36
batch198.147 10.689 54.2158 32
batch138.439 10.303 54.1976 33
batch56.103 8.250 54.1918 28
batch149.308 7.860 54.1911 34
batch90.11 9.224 54.1841 34
batch80.337 8.807 54.176 30
batch59.155 12.266 54.1725 32
batch151.8 6.043 54.169 33
batch178.72 12.023 54.1646 28
batch3.374 7.170 54.1543 33
batch86.339 11.058 54.1539 27
batch12.169 8.602 54.1505 27
batch187.103 8.666 54.1385 31
batch1.194 8.159 54.1357 32
batch152.49 9.538 54.1296 33
batch131.124 11.705 54.1247 31
batch46.62 12.325 54.1102 19
batch198.85 11.753 54.1078 34
batch163.166 7.983 54.0988 35
batch145.66 8.636 54.0956 34
batch177.162 8.450 54.0945 31
batch175.52 8.334 54.0873 36
batch145.363 9.202 54.0844 29
batch69.82 8.946 54.0819 29
batch3.443 9.643 54.0815 36
batch10.144 7.175 54.0788 33
batch129.131 8.996 54.0739 36
batch67.288 12.857 54.0701 25
batch57.404 10.002 54.0697 29
batch26.429 7.431 54.0687 36
batch162.79 9.536 54.0677 35
batch86.192 7.917 54.0665 28
batch88.361 8.746 54.0615 31
batch126.155 9.860 54.0583 35
batch84.180 8.157 54.0535 24
batch114.39 8.636 54.0519 32
batch120.77 12.240 54.0471 29
batch59.364 7.017 54.0463 35
batch33.339 8.230 54.0446 32
batch3.236 7.433 54.0404 32
batch71.302 7.487 54.0403 29
batch133.157 9.816 54.0351 32
batch192.285 8.086 54.0329 30
batch126.126 9.353 54.0292 34
batch38.138 8.976 54.0288 32
batch61.287 9.309 54.0283 34
batch61.177 11.932 54.0264 28
batch193.17 12.265 54.0204 35
batch3.14 9.676 54.0198 35
batch144.408 9.476 54.0122 19
batch70.132 8.597 54.012 18
batch33.45 11.460 54.0098 27
batch28.318 7.611 54.0081 34
batch12.44 11.825 54.0065 35
batch94.308 9.027 54.0038 32
batch7.315 9.622 54.0035 27
batch16.104 12.459 54.0007 30
batch190.148 9.621 54 27
batch78.449 8.400 53.993 24
batch71.168 7.875 53.9922 28
