1 8.226 55.8843 34
2 9.778 55.6004 27
3 7.622 57.0848 28
4 12.412 56.2219 26
5 9.586 57.4 16
6 9.076 57.1955 20
7 11.623 55.8698 24
8 10.520 55.784 45
9 7.844 58.051 19
10 11.272 57.3757 26
11 9.665 57.5161 48
12 10.954 57.0978 51
13 11.233 58.4118 63
14 8.583 55.899 48
1 10.788 54.2674 19
2 9.161 54.3833 31
3 9.019 55.6246 31
4 7.988 58.4539 44
5 11.414 57.8307 45
6 9.191 58.8417 47
7 11.306 55.1155 52
8 11.751 54.8164 35
9 10.675 57.4308 46
10 11.116 58.7231 35
11 11.244 58.8303 36
12 11.043 56.929 58
13 11.182 57.6651 35
1 10.812 56.3367 47
2 8.773 56.0831 42
3 9.177 56.1186 40
4 9.045 57.4884 22
5 8.359 57.7539 3
6 12.003 57.4116 58
7 11.040 57.9531 46
8 8.548 57.135 12
9 10.694 58.0183 31
10 10.109 56.7945 40
11 8.534 55.8038 43
12 11.434 58.5374 57
13 11.141 58.8233 55
1 9.195 59.8415 32
2 9.023 55.9954 47
3 9.795 55.1001 25
4 9.191 59.0207 46
5 9.764 57.6093 28
6 9.867 58.2536 19
7 8.441 54.2224 38
8 12.138 57.3402 27
9 12.961 55.2888 48
10 9.714 58.986 35
11 10.756 57.2924 44
12 10.801 58.9346 49
13 10.098 58.4391 38
1 11.044 57.4024 23
2 8.056 59.9219 39
3 11.832 55.6396 23
4 7.770 57.8935 36
5 9.399 57.2017 37
6 10.549 56.9913 18
7 10.408 59.0504 69
8 9.884 57.4935 25
9 11.428 54.8426 44
10 10.083 56.864 42
11 8.755 57.1199 17
12 7.984 61.153 40
13 10.272 54.1583 31
1 8.855 58.5589 35
2 9.346 58.2877 47
3 11.051 57.2866 23
4 9.940 58.2206 22
5 9.545 57.3286 29
6 13.633 55.7446 30
7 12.841 57.1727 27
8 10.017 56.6345 25
9 9.284 58.1605 42
10 10.216 57.3002 27
11 11.076 57.4776 42
12 10.875 58.657 54
13 10.567 59.4586 41
1 9.824 59.065 46
2 9.912 57.3298 38
3 9.328 57.9823 34
4 8.159 58.1965 36
5 9.809 56.5656 35
6 10.060 58.7171 27
7 10.615 55.9077 27
8 9.823 56.9988 35
9 11.489 54.2473 45
10 9.545 57.8028 37
11 9.287 58.3966 30
12 10.161 55.2537 38
13 8.502 55.7418 41
1 7.637 59.1516 57
2 9.844 55.2718 28
3 7.465 57.7399 26
4 12.207 58.7665 29
5 8.827 52.776 29
6 11.294 57.2929 26
7 10.475 56.5459 43
8 8.979 58.6969 39
9 10.855 56.9901 41
10 9.112 58.1735 37
11 8.792 58.4824 34
12 7.779 56.4906 28
13 11.644 54.8954 41
1 11.721 57.6151 52
2 8.046 55.7482 22
3 10.621 57.3271 58
4 8.485 58.311 38
5 9.861 57.3466 28
6 9.865 55.9563 30
7 10.183 57.7422 43
8 8.309 57.1788 34
9 7.479 57.7887 30
10 9.892 59.7773 28
11 10.821 57.8289 40
12 10.216 56.6093 36
13 11.035 54.2642 18
1 11.146 57.2557 52
2 9.072 53.93 35
3 11.655 56.1561 23
4 11.401 56.4775 39
5 11.237 56.8611 41
6 11.479 57.6542 53
7 12.858 57.5158 20
8 10.609 57.6649 50
9 9.518 59.0756 26
10 10.239 58.8311 33
11 12.973 58.9116 17
12 12.326 55.6899 32
13 9.645 56.621 48
