batch83.406 9.592 54.2752 43 11
batch141.394 10.710 54.2747 43 9
batch118.310 9.627 54.2009 38 11
batch93.95 6.956 54.1597 35 12
batch193.437 10.894 54.0963 43 16
batch178.346 8.385 54.0732 40 11
batch183.63 9.753 53.9839 40 11
batch110.35 8.646 53.9781 40 8
batch145.200 9.312 53.9685 35 7
batch25.424 10.502 53.9651 43 12
batch70.359 9.917 53.9503 40 11
batch50.278 7.801 53.9315 44 7
batch12.72 11.063 53.9094 34 10
batch124.254 12.225 53.8999 44 10
batch54.236 11.965 53.8917 35 11
batch77.480 5.622 53.8785 37 11
batch139.381 11.451 53.8736 38 10
batch114.477 8.295 53.858 43 9
batch154.143 8.802 53.8359 37 13
batch94.491 9.049 53.8346 36 10
batch77.343 8.882 53.8254 38 8
batch128.241 11.193 53.8179 33 10
batch65.12 12.106 53.8115 36 8
batch35.142 10.638 53.8106 42 10
batch131.427 8.720 53.8017 42 9
batch76.16 7.438 53.7966 41 19
batch189.457 12.146 53.7841 38 7
batch35.186 7.525 53.7771 40 10
batch10.86 9.076 53.7673 44 10
batch58.217 10.792 53.7553 43 10
batch97.427 9.820 53.7383 38 12
batch197.20 8.651 53.7361 43 10
batch9.447 9.089 53.7342 34 10
batch167.346 11.222 53.7279 43 12
batch30.410 10.178 53.7142 43 10
batch106.35 10.360 53.6979 35 9
batch172.303 10.188 53.6919 38 11
batch145.317 11.463 53.6877 41 8
batch181.185 9.075 53.6849 41 16
