batch81.182 6.939 61.1413 17
batch42.324 7.334 61.0945 17
batch14.887 7.558 60.6842 13
batch36.775 7.217 60.4306 17
batch88.993 8.108 60.3808 15
batch13.66 7.285 60.3643 10
batch6.446 7.386 60.3309 17
batch79.882 7.669 60.2681 17
batch54.593 7.549 60.2651 10
batch4.583 9.071 60.2394 17
batch81.197 7.465 60.1903 15
batch77.39 7.627 60.1431 9
batch54.991 8.158 60.1401 12
batch67.802 7.540 60.1041 15
batch0.277 7.901 60.1022 15
batch35.52 8.092 60.0705 7
batch34.549 9.030 60.0601 17
batch77.232 8.050 60.0031 6
batch19.153 7.619 59.9996 7
batch92.377 7.676 59.9919 17
batch44.650 8.178 59.9486 17
batch61.447 8.594 59.9132 13
batch65.661 7.676 59.9089 9
batch68.110 8.167 59.8933 17
batch76.434 8.423 59.8811 16
batch95.983 7.800 59.8572 11
batch39.414 7.997 59.8258 15
batch67.724 7.265 59.8031 16
batch86.698 8.300 59.7981 14
batch77.111 10.433 59.7958 16
batch43.540 7.246 59.7552 7
batch31.126 7.821 59.7239 12
batch95.679 8.518 59.7033 15
batch58.53 10.174 59.683 10
batch93.138 8.129 59.678 10
batch5.203 7.468 59.6707 14
batch91.571 8.996 59.6649 17
batch73.94 7.677 59.6628 13
batch31.977 8.207 59.6617 17
batch15.450 8.825 59.6503 17
batch41.612 7.788 59.6371 13
batch70.324 9.090 59.6361 14
batch16.837 9.086 59.6277 10
batch56.938 8.297 59.6268 17
batch26.310 7.574 59.6091 17
batch79.226 8.231 59.6065 15
batch80.707 8.145 59.5981 13
batch86.653 8.454 59.5803 14
batch70.794 7.654 59.5714 12
batch62.252 7.702 59.5504 11
batch98.464 7.541 59.5452 17
batch68.504 6.842 59.5366 6
batch16.693 9.049 59.5282 16
batch70.476 7.597 59.518 17
batch92.63 7.785 59.5099 10
batch18.403 8.987 59.5053 17
batch74.75 8.164 59.4996 15
batch98.202 7.902 59.4638 14
batch51.295 7.434 59.4608 17
batch91.670 8.985 59.4548 15
batch51.945 8.459 59.4492 9
batch69.821 7.239 59.4455 10
batch69.960 8.157 59.4321 11
batch99.245 10.046 59.4287 13
batch43.89 7.759 59.4287 10
batch28.710 7.915 59.4235 14
batch4.724 9.711 59.4212 16
batch25.328 8.126 59.4209 10
batch87.672 9.400 59.419 12
batch93.819 8.691 59.4177 10
batch24.337 7.931 59.412 16
batch61.307 8.234 59.4107 17
batch71.436 7.507 59.4082 10
batch56.949 8.206 59.4071 10
batch78.501 9.212 59.4069 12
batch74.275 7.491 59.4048 16
batch95.178 8.753 59.4045 12
batch80.595 8.620 59.3996 15
batch76.214 7.834 59.3991 11
batch34.605 8.922 59.3988 15
batch56.110 9.032 59.372 8
batch65.85 8.985 59.3694 17
batch84.564 7.409 59.3692 11
batch81.434 8.499 59.3661 15
batch74.352 9.114 59.3551 9
batch50.612 8.556 59.3525 15
batch51.148 6.735 59.3503 9
batch4.933 8.161 59.338 16
batch90.387 8.038 59.3313 13
batch13.178 8.124 59.3245 15
batch43.618 9.355 59.3178 11
batch32.408 7.888 59.3125 8
batch84.260 7.764 59.3105 15
batch72.819 6.991 59.3092 14
batch77.656 8.632 59.3072 12
batch53.377 8.286 59.3069 7
batch48.396 7.967 59.3054 14
batch85.404 8.839 59.3028 16
batch24.837 8.218 59.2875 17
batch56.556 7.598 59.2842 15
batch69.62 8.201 59.2788 10
batch74.768 7.785 59.2728 14
batch55.626 8.640 59.2713 14
batch21.704 7.794 59.2706 17
batch42.912 9.204 59.2646 6
batch76.336 7.734 59.2621 8
batch75.593 7.914 59.2588 11
batch60.707 8.065 59.2588 9
batch6.595 9.337 59.2585 9
batch22.670 8.092 59.2569 8
batch27.732 8.016 59.2559 12
batch90.92 7.655 59.2487 12
batch34.58 8.585 59.2444 11
batch88.378 7.461 59.2403 9
batch47.811 8.353 59.2368 16
batch50.293 7.257 59.2362 14
batch85.859 9.017 59.2351 13
batch12.39 10.826 59.2351 14
batch87.532 7.883 59.2303 14
batch95.22 8.693 59.2273 13
batch48.452 7.435 59.2236 15
batch33.980 9.096 59.2215 17
batch22.621 8.091 59.219 14
batch51.118 8.834 59.218 12
batch85.719 8.207 59.2177 11
batch96.926 11.397 59.213 16
batch93.732 8.008 59.1977 15
batch11.62 8.766 59.1975 16
batch64.301 7.311 59.1956 10
batch46.151 9.230 59.195 16
batch3.364 8.173 59.1935 11
batch13.451 7.706 59.192 9
batch58.421 8.781 59.1916 13
batch21.633 9.198 59.1908 11
batch55.984 7.632 59.1897 16
batch59.226 9.985 59.1876 17
batch26.694 8.841 59.1861 10
batch30.395 7.424 59.1788 10
batch72.568 6.900 59.1782 13
batch39.940 9.575 59.1778 15
batch14.705 8.819 59.1767 10
batch73.809 8.530 59.1749 11
batch10.730 7.727 59.1729 12
batch58.20 8.428 59.1715 8
batch90.731 7.575 59.1704 13
batch40.601 8.505 59.1702 10
batch67.558 7.661 59.1671 16
batch76.228 9.034 59.1654 16
batch58.479 7.256 59.1629 16
batch19.230 8.316 59.1621 17
batch60.417 7.723 59.1547 10
batch6.742 8.232 59.1521 12
batch18.939 7.545 59.1513 16
batch14.685 8.751 59.1513 7
batch14.83 8.509 59.1455 15
batch51.885 7.937 59.1446 16
batch58.669 8.273 59.1422 13
batch92.870 8.559 59.1388 13
batch94.184 7.998 59.1346 11
batch43.327 7.319 59.1324 14
batch17.387 7.644 59.1321 12
batch66.548 9.396 59.1312 15
batch33.555 8.413 59.1312 12
batch92.397 7.892 59.1263 12
batch86.900 9.269 59.1236 13
batch94.533 7.717 59.1232 11
batch87.516 8.163 59.1227 14
batch73.100 7.356 59.1224 10
batch20.893 8.973 59.1201 11
batch72.313 7.351 59.119 7
batch59.27 8.359 59.1169 12
batch7.920 8.478 59.1163 12
batch25.939 8.002 59.106 17
batch98.422 7.499 59.1054 15
batch4.541 7.628 59.1028 13
batch79.15 12.327 59.1011 15
batch12.462 8.337 59.1003 15
batch79.451 7.195 59.0938 17
batch64.964 8.305 59.0872 14
batch47.437 8.106 59.0825 11
batch3.444 7.865 59.0794 16
batch48.223 7.008 59.0788 14
batch87.629 7.556 59.0786 14
batch81.660 8.864 59.0765 6
batch15.309 8.683 59.0764 11
batch40.802 8.980 59.0681 11
batch97.407 8.357 59.0674 11
batch14.605 9.784 59.0628 12
batch22.322 7.140 59.0617 14
batch91.762 8.242 59.0616 10
batch96.733 8.740 59.0608 11
batch3.451 7.454 59.0562 17
batch24.74 7.933 59.0542 6
batch54.588 12.465 59.0535 15
batch41.954 7.304 59.0525 12
batch75.587 9.195 59.0524 14
batch85.57 7.025 59.0477 13
batch17.701 8.178 59.0472 11
batch19.999 8.829 59.0469 7
batch69.182 8.880 59.0447 17
batch20.610 8.572 59.044 4
batch38.551 6.961 59.0412 10
batch12.48 7.866 59.0412 14
batch73.648 7.596 59.0398 10
batch41.889 8.552 59.0397 11
batch36.509 8.899 59.037 13
batch42.272 8.210 59.0364 14
batch9.181 8.959 59.0362 14
batch15.314 7.934 59.0348 12
batch66.906 9.687 59.0318 17
batch73.622 7.534 59.0307 15
batch48.240 8.921 59.03 9
batch57.538 9.808 59.0262 11
batch15.4 9.172 59.0224 16
batch92.830 8.012 59.0214 14
batch12.568 7.859 59.0181 16
batch33.994 7.459 59.0145 10
batch71.786 7.447 59.0083 15
batch99.351 8.716 59.0065 16
batch90.398 7.804 59.0027 14
batch48.765 9.009 59.0014 13
batch27.346 8.409 59.0005 9
batch80.724 7.725 58.9997 16
batch3.82 7.761 58.9996 13
batch52.758 8.222 58.9986 15
batch11.938 8.582 58.9943 11
batch38.503 7.606 58.9929 6
batch68.599 10.155 58.9917 15
batch21.968 8.381 58.9916 8
batch75.617 8.057 58.987 9
batch56.634 8.612 58.9844 17
batch22.525 8.252 58.9798 11
batch96.339 7.864 58.9757 15
batch45.771 10.012 58.9745 9
batch46.203 8.254 58.9727 13
batch59.942 8.387 58.9719 15
batch25.972 9.127 58.9679 9
batch24.891 9.509 58.9643 17
batch55.907 8.367 58.964 17
batch48.763 9.280 58.961 12
batch93.926 8.452 58.9594 12
batch81.873 10.248 58.9571 15
batch20.491 8.270 58.9563 16
batch43.137 8.579 58.956 13
batch66.380 8.900 58.9548 17
batch6.829 8.673 58.9532 17
batch37.388 8.684 58.9476 15
batch9.212 10.031 58.9462 11
batch31.872 7.545 58.9434 16
batch75.799 8.090 58.943 16
batch99.160 7.885 58.9427 14
batch26.113 8.674 58.9416 4
batch74.652 7.651 58.9403 13
batch36.328 12.068 58.9382 12
batch45.795 8.657 58.9359 16
batch43.681 8.887 58.9345 7
batch70.267 9.941 58.9335 16
batch62.208 8.522 58.9326 15
batch84.404 7.924 58.9313 15
batch14.884 8.962 58.9291 16
batch31.378 8.935 58.9264 8
batch78.493 8.275 58.9245 13
batch76.686 8.237 58.924 15
batch2.965 9.123 58.9237 12
batch63.196 7.439 58.9215 16
batch56.18 7.038 58.9197 13
batch51.827 9.635 58.9167 16
batch56.921 7.857 58.9157 15
batch80.905 7.206 58.9146 15
batch37.792 9.523 58.9106 14
batch91.848 9.085 58.9097 14
batch90.48 7.807 58.9052 15
batch97.130 7.723 58.903 16
batch35.299 8.035 58.9011 12
batch9.107 7.664 58.9003 5
batch30.195 7.996 58.8987 14
batch17.932 7.712 58.8981 15
batch26.478 10.122 58.8968 9
batch54.196 8.677 58.8961 11
batch17.926 9.025 58.8953 14
batch55.473 7.494 58.8936 11
batch30.218 8.391 58.8928 15
batch47.822 8.077 58.8918 13
batch85.769 8.565 58.8914 16
batch99.326 8.253 58.8901 14
batch48.827 10.492 58.8884 17
batch45.721 8.946 58.8878 17
batch62.612 7.572 58.8865 16
batch59.628 9.895 58.8863 16
batch91.597 8.584 58.8851 14
batch30.300 8.725 58.8847 15
batch52.606 8.279 58.8845 16
batch31.676 8.927 58.8834 17
batch59.217 8.405 58.8825 12
batch80.270 8.333 58.8794 10
batch53.996 7.892 58.8788 9
batch56.364 7.522 58.878 9
batch12.440 7.485 58.8775 14
batch94.290 8.600 58.8741 17
batch45.132 8.232 58.8729 15
batch27.155 8.525 58.8709 13
batch41.347 8.429 58.8702 15
batch47.670 8.361 58.8657 12
batch24.926 8.452 58.8618 15
batch74.633 8.341 58.8605 14
batch18.260 8.748 58.8602 13
batch39.601 7.828 58.8576 15
batch67.373 7.949 58.8562 8
batch42.370 8.563 58.856 16
batch98.788 9.868 58.8556 9
batch69.444 7.892 58.8556 9
batch9.999 8.409 58.8548 14
batch26.45 13.130 58.8547 15
batch51.110 7.645 58.8544 12
batch64.393 9.450 58.8534 11
batch17.988 8.254 58.8478 15
batch66.534 7.695 58.845 14
batch91.214 8.492 58.8419 11
batch0.629 8.617 58.8411 13
batch19.160 9.161 58.8403 12
batch75.415 7.923 58.8402 6
batch87.117 9.291 58.8383 10
batch51.781 8.225 58.8381 7
batch52.800 8.404 58.8353 9
batch9.811 7.914 58.8338 12
batch99.577 11.432 58.8326 17
batch64.695 9.836 58.8303 8
batch48.632 8.432 58.8292 14
batch37.145 7.996 58.8272 12
batch49.33 8.136 58.8271 14
batch34.286 7.719 58.8269 11
batch45.43 8.829 58.8261 8
batch75.258 8.521 58.8249 11
batch90.146 8.800 58.8246 7
batch52.326 8.184 58.8223 16
batch31.307 7.647 58.8209 9
batch47.471 8.313 58.8207 17
batch91.182 8.880 58.8197 11
batch48.299 6.558 58.8187 6
batch24.116 8.026 58.8178 9
batch90.205 6.676 58.8156 13
batch61.131 10.388 58.8154 15
batch63.564 7.439 58.8149 16
batch87.566 8.369 58.814 8
batch12.435 8.208 58.8134 11
batch98.158 9.919 58.8112 13
batch86.536 8.541 58.8109 9
batch52.258 7.817 58.8089 14
batch11.520 8.993 58.8079 12
batch68.653 10.915 58.8075 9
batch88.510 8.462 58.8028 11
batch33.874 6.605 58.8015 12
batch38.850 7.168 58.8007 13
batch66.829 7.800 58.7914 17
batch22.901 7.881 58.7911 13
batch93.153 7.807 58.791 7
batch18.320 10.372 58.7905 17
batch90.201 8.540 58.7904 8
batch81.874 9.027 58.7867 16
batch40.765 9.153 58.7824 6
batch81.778 8.055 58.7818 15
batch94.520 8.662 58.7817 15
batch52.591 8.491 58.7816 14
batch24.978 8.166 58.7816 10
batch63.610 8.875 58.7797 16
batch11.796 8.349 58.7768 17
batch13.228 8.826 58.7757 12
batch7.551 8.107 58.7752 10
batch1.531 6.814 58.7747 14
batch45.526 7.155 58.7744 16
batch93.300 8.180 58.7737 14
batch91.294 9.293 58.7727 13
batch71.342 7.546 58.7721 10
batch94.12 11.327 58.7712 13
batch60.154 7.865 58.7687 15
batch22.846 8.973 58.7683 16
batch31.108 7.987 58.7662 17
batch21.221 7.577 58.7657 12
batch30.882 8.135 58.7656 12
batch36.459 9.054 58.7655 10
