342 11.736 58.5459 5 228.508
572 8.535 58.3324 5 226.845
684 13.186 58.9912 6 217.498
22 9.456 56.9082 5 215.903
27 12.028 56.6005 5 213.574
103 8.027 58.0979 6 210.96
796 9.132 54.1514 4 209.455
421 10.949 55.6267 5 206.289
170 9.862 55.5281 5 205.558
615 8.585 56.8548 6 202.029
629 9.173 58.2816 7 199.809
106 9.981 56.4789 6 199.367
975 11.882 58.1695 7 199.041
158 10.063 55.702 6 193.92
238 11.775 57.4049 7 193.843
225 8.709 58.7751 8 191.917
386 10.673 58.5414 8 190.394
861 10.632 56.8035 7 189.802
292 12.817 56.7657 7 189.55
202 9.765 56.6884 7 189.034
863 8.811 56.6225 7 188.595
786 7.679 58.2631 8 188.588
329 8.999 58.1767 8 188.029
338 7.184 58.0616 8 187.286
11 9.080 54.6221 6 186.473
722 9.080 56.1492 7 185.455
849 9.184 57.6818 8 184.844
317 9.960 56.0451 7 184.768
866 12.380 56.0146 7 184.567
760 10.525 59.1294 9 184.015
477 7.949 57.4024 8 183.058
948 8.345 57.3507 8 182.728
757 12.482 58.8425 9 182.234
237 10.751 57.0978 8 181.12
49 12.023 57.0806 8 181.011
237 9.946 57.0804 8 181.01
795 7.503 56.8062 8 179.275
511 8.633 58.3562 9 179.234
26 8.215 56.7595 8 178.98
759 10.473 56.744 8 178.882
180 8.568 56.7414 8 178.866
43 9.765 56.7008 8 178.61
908 12.315 56.6502 8 178.291
618 11.001 56.6366 8 178.206
323 11.732 58.0048 9 177.082
49 8.733 54.7096 7 176.067
701 9.134 57.6282 9 174.79
135 6.337 57.6124 9 174.694
48 7.924 56.0107 8 174.289
166 12.376 59.0199 10 174.167
2 7.682 55.9775 8 174.082
377 11.082 55.8512 8 173.298
508 9.364 60.2912 11 173.097
907 11.998 55.8022 8 172.994
588 12.851 58.8149 10 172.96
863 8.665 57.3201 9 172.926
595 8.644 57.2826 9 172.7
136 9.349 58.7644 10 172.663
926 8.337 58.7339 10 172.484
554 11.496 58.7242 10 172.427
635 8.904 55.6167 8 171.845
703 8.675 60.0713 11 171.836
272 9.651 55.5726 8 171.573
716 9.533 53.9985 7 171.52
987 13.053 55.5251 8 171.28
864 8.418 55.5226 8 171.264
928 12.011 57.0402 9 171.241
514 11.320 57.0138 9 171.083
360 8.518 56.8894 9 170.337
507 8.333 58.3542 10 170.261
73 7.885 56.783 9 169.7
797 12.695 58.2486 10 169.645
166 12.887 59.6607 11 169.495
949 10.944 58.2185 10 169.47
368 10.807 58.1965 10 169.342
844 10.373 58.1755 10 169.219
729 12.820 55.1882 8 169.208
651 12.617 56.6858 9 169.12
14 9.143 58.1536 10 169.092
814 12.243 55.1324 8 168.866
8 7.955 56.5636 9 168.392
338 7.973 56.5516 9 168.32
365 10.973 58.0141 10 168.282
698 8.275 57.9957 10 168.175
770 8.415 57.9831 10 168.102
34 11.416 57.9673 10 168.01
970 11.365 57.8974 10 167.605
859 9.147 57.8792 10 167.5
654 12.790 57.8526 10 167.346
331 8.914 57.8475 10 167.317
137 11.922 57.7649 10 166.839
597 10.904 56.2875 9 166.752
792 11.633 54.7151 8 166.319
483 9.859 57.6743 10 166.316
183 10.801 54.71 8 166.288
896 8.521 57.6604 10 166.236
676 12.264 57.6491 10 166.171
712 8.341 59.0628 11 166.115
304 9.332 59.051 11 166.049
69 12.497 57.5797 10 165.771
4 12.688 58.9706 11 165.597
585 12.861 60.3191 12 165.382
14 8.223 57.5083 10 165.36
734 12.304 56.0439 9 165.312
58 7.679 56.0272 9 165.213
513 9.801 57.4396 10 164.965
625 8.265 58.8406 11 164.867
323 11.892 57.422 10 164.864
292 7.568 57.3932 10 164.699
118 9.706 58.8016 11 164.649
413 9.513 60.1062 12 164.216
970 7.932 58.6465 11 163.782
401 10.267 58.6383 11 163.736
772 8.782 60.0169 12 163.729
989 8.240 55.7591 9 163.636
997 8.167 58.6122 11 163.59
327 7.596 57.1994 10 163.589
343 9.768 58.6073 11 163.563
974 10.763 57.1161 10 163.112
604 10.740 58.5187 11 163.068
546 8.940 58.4536 11 162.706
303 12.844 57.0399 10 162.678
665 8.036 59.8134 12 162.62
388 11.591 58.3166 11 161.944
80 8.633 55.4442 9 161.793
110 11.140 58.2728 11 161.701
216 10.868 53.9422 8 161.653
712 8.270 56.8449 10 161.567
466 9.656 58.2391 11 161.514
896 9.065 58.1842 11 161.21
776 7.839 56.7786 10 161.19
915 8.500 56.729 10 160.909
968 8.661 58.1198 11 160.853
679 8.633 58.118 11 160.843
642 8.514 58.1179 11 160.842
413 11.188 58.0984 11 160.734
5 7.789 57.9975 11 160.177
43 8.763 55.1513 9 160.088
668 8.352 60.627 13 159.81
336 7.403 57.8839 11 159.55
64 11.246 56.4772 10 159.484
328 13.034 56.4471 10 159.314
768 8.720 60.5284 13 159.291
386 8.649 59.1785 12 159.186
753 9.816 59.1186 12 158.864
552 10.552 54.8839 9 158.539
116 9.408 57.6656 11 158.349
687 9.005 57.6607 11 158.322
209 8.743 56.2592 10 158.255
730 11.477 58.971 12 158.072
656 11.809 58.9687 12 158.059
238 11.305 58.9538 12 157.98
832 7.167 56.2097 10 157.977
99 9.556 56.2066 10 157.959
376 8.530 58.9473 12 157.945
200 9.266 57.5812 11 157.885
694 13.260 57.5708 11 157.828
217 7.517 58.8734 12 157.549
730 11.703 57.5144 11 157.519
301 12.547 56.1265 10 157.509
705 9.732 57.4851 11 157.359
412 10.149 57.483 11 157.347
831 9.222 57.481 11 157.336
733 8.128 58.822 12 157.274
990 11.467 58.7962 12 157.136
972 11.785 58.7953 12 157.131
70 8.400 60.0977 13 157.032
849 7.210 55.9953 10 156.774
82 9.391 57.3671 11 156.714
748 11.133 55.9737 10 156.653
33 9.442 58.6928 12 156.584
