batch84.208 9.285 54.3741 28 10
batch51.78 8.397 54.2788 34 11
batch25.279 8.984 54.249 36 8
batch32.136 9.088 54.1995 39 8
batch175.73 9.289 54.1822 43 9
batch133.205 11.283 54.1431 40 8
batch126.155 9.860 54.0583 35 10
batch19.14 10.220 54.0503 43 11
batch134.216 10.625 54.0034 43 11
batch84.352 11.347 53.9897 40 9
batch64.158 12.494 53.9884 43 14
batch193.47 8.490 53.9878 43 10
batch181.75 11.390 53.9854 41 9
batch91.40 10.399 53.961 42 9
batch142.146 10.549 53.9544 45 10
batch41.36 9.061 53.9509 39 9
batch46.115 11.426 53.9454 40 12
batch167.56 11.210 53.9082 44 10
batch155.140 12.637 53.8957 46 11
batch79.302 11.126 53.8889 39 12
batch19.254 7.147 53.8693 46 12
batch160.147 12.426 53.8566 45 10
batch172.308 9.445 53.852 35 11
batch132.225 10.172 53.8267 40 9
batch6.221 11.829 53.8108 36 8
batch28.21 11.423 53.8008 35 11
batch77.317 10.055 53.7972 43 8
batch32.345 11.675 53.7901 27 11
